#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023SRL
Date: 2022-09-01T23:12:26.346675Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 09011
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2025	23.2145
H_R2H0_P2	124.2110	25.8690
PB_P1	81.8890	10.5138
PB_P2	122.3764	1.0963
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2167	29.7312	0.0006
Sensor	1	19.2309	28.9134	-0.0014
Sensor	1	29.0996	28.2727	-0.0006
Sensor	1	39.2847	27.7731	0.0012
Sensor	1	49.3235	27.4484	0.0012
Sensor	1	59.3593	27.3009	0.0004
Sensor	1	69.3909	27.2960	-0.0005
Sensor	1	79.4181	27.4701	-0.0014
Sensor	1	89.5943	27.8196	-0.0001
Sensor	1	99.6046	28.3201	-0.0000
Sensor	1	109.6030	29.0130	0.0005
Sensor	1	119.7404	29.8508	0.0001
ABC_R2H0_0	2	120.0068	24.1920	0.3461
ABC_R2H0_0_A	2	124.2027	25.8633	0.3436
ABC_R2H0_0_B	2	124.5299	23.3164	0.3404
ABC_R2H0_0_C	2	115.7181	22.5405	0.3460
ABC_R2H0_0_D	2	115.5765	25.0479	0.3543
ABC_R2H0_1	2	109.9149	23.3353	0.3535
ABC_R2H0_10	2	18.8191	23.2408	0.3667
ABC_R2H0_10_A	2	23.2375	24.1925	0.3675
ABC_R2H0_10_B	2	23.1376	21.6287	0.3600
ABC_R2H0_10_C	2	14.3261	22.3086	0.3648
ABC_R2H0_10_D	2	14.5754	24.8333	0.3744
ABC_R2H0_11	2	8.7003	24.0663	0.3853
ABC_R2H0_11_A	2	13.1379	24.9518	0.3798
ABC_R2H0_11_B	2	12.9825	22.3701	0.3693
ABC_R2H0_11_C	2	4.1889	23.1982	0.3916
ABC_R2H0_11_D	2	4.4919	25.7449	0.4003
ABC_R2H0_1_A	2	114.1395	24.9394	0.3572
ABC_R2H0_1_B	2	114.3993	22.3801	0.3463
ABC_R2H0_1_C	2	105.6017	21.7493	0.3514
ABC_R2H0_1_D	2	105.5192	24.2726	0.3589
ABC_R2H0_2	2	99.8195	22.6604	0.3561
ABC_R2H0_2_A	2	104.0675	24.1922	0.3585
ABC_R2H0_2_B	2	104.2844	21.6190	0.3521
ABC_R2H0_2_C	2	95.4772	21.1319	0.3533
ABC_R2H0_2_D	2	95.4488	23.6985	0.3606
ABC_R2H0_3	2	89.7185	22.1649	0.3585
ABC_R2H0_3_A	2	93.9832	23.6127	0.3618
ABC_R2H0_3_B	2	94.1792	21.0749	0.3534
ABC_R2H0_3_C	2	85.3544	20.7019	0.3536
ABC_R2H0_3_D	2	85.3573	23.2702	0.3652
ABC_R2H0_4	2	79.5945	21.8101	0.3543
ABC_R2H0_4_A	2	83.8975	23.2062	0.3614
ABC_R2H0_4_B	2	84.0250	20.6047	0.3508
ABC_R2H0_4_C	2	75.2049	20.4320	0.3493
ABC_R2H0_4_D	2	75.2505	22.9977	0.3559
ABC_R2H0_5	2	69.4664	21.6221	0.3543
ABC_R2H0_5_A	2	73.7810	22.9438	0.3585
ABC_R2H0_5_B	2	73.8901	20.3626	0.3503
ABC_R2H0_5_C	2	65.0591	20.3207	0.3490
ABC_R2H0_5_D	2	65.1356	22.8611	0.3595
ABC_R2H0_6	2	59.3423	21.6244	0.3566
ABC_R2H0_6_A	2	63.6836	22.8720	0.3600
ABC_R2H0_6_B	2	63.7419	20.2968	0.3485
ABC_R2H0_6_C	2	54.9122	20.3908	0.3532
ABC_R2H0_6_D	2	55.0315	22.9382	0.3646
ABC_R2H0_7	2	49.2049	21.7670	0.3614
ABC_R2H0_7_A	2	53.5614	22.9484	0.3645
ABC_R2H0_7_B	2	53.5776	20.3514	0.3526
ABC_R2H0_7_C	2	44.7538	20.6152	0.3581
ABC_R2H0_7_D	2	44.9266	23.1528	0.3703
ABC_R2H0_8	2	39.0741	22.0906	0.3624
ABC_R2H0_8_A	2	43.4552	23.1921	0.3700
ABC_R2H0_8_B	2	43.4258	20.6168	0.3559
ABC_R2H0_8_C	2	34.6069	21.0122	0.3561
ABC_R2H0_8_D	2	34.8084	23.5413	0.3677
ABC_R2H0_9	2	28.9496	22.5807	0.3639
ABC_R2H0_9_A	2	33.3499	23.6110	0.3667
ABC_R2H0_9_B	2	33.2688	21.0457	0.3569
ABC_R2H0_9_C	2	24.4648	21.5669	0.3621
ABC_R2H0_9_D	2	24.7149	24.0991	0.3697
HCC_R2H0_2	2	22.6064	7.0024	0.2998
HCC_R2H0_2_A	2	25.3896	9.4192	0.2995
